Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_minimal_tb.dut.tw_rom.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.

=================================================
TEST: DC Signal (Input 0.5)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
151 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
152 |         265 |     256.55 |   3.29 |     -213 |     -143 | ff2b | ff71          
153 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
154 |         263 |     256.60 |   2.49 |     -206 |     -153 | ff32 | ff67          
155 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
156 |         258 |     256.46 |   0.60 |     -198 |     -163 | ff3a | ff5d          
157 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
158 |         254 |     256.29 |   0.89 |     -190 |     -172 | ff42 | ff54          
159 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
160 |         249 |     256.68 |   2.99 |     -181 |     -182 | ff4b | ff4a          
161 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
162 |         254 |     256.29 |   0.89 |     -172 |     -190 | ff54 | ff42          
163 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
164 |         258 |     256.46 |   0.60 |     -163 |     -198 | ff5d | ff3a          
165 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
166 |         263 |     256.60 |   2.49 |     -153 |     -206 | ff67 | ff32          
167 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
168 |         266 |     256.83 |   3.57 |     -142 |     -214 | ff72 | ff2a          
169 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
170 |         269 |     256.56 |   4.85 |     -132 |     -220 | ff7c | ff24          
171 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
172 |         272 |     257.24 |   5.74 |     -121 |     -227 | ff87 | ff1d          
173 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
174 |         272 |     256.76 |   5.94 |     -110 |     -232 | ff92 | ff18          
175 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
176 |         273 |     256.85 |   6.29 |      -99 |     -237 | ff9d | ff13          
177 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
178 |         272 |     256.22 |   6.16 |      -87 |     -241 | ffa9 | ff0f          
179 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
180 |         272 |     256.22 |   6.16 |      -75 |     -245 | ffb5 | ff0b          
181 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
182 |         271 |     256.85 |   5.51 |      -63 |     -249 | ffc1 | ff07          
183 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
184 |         269 |     255.93 |   5.11 |      -50 |     -251 | ffce | ff05          
185 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
186 |         267 |     256.68 |   4.02 |      -37 |     -254 | ffdb | ff02          
187 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
188 |         264 |     256.22 |   3.04 |      -25 |     -255 | ffe7 | ff01          
189 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
190 |         260 |     256.33 |   1.43 |      -13 |     -256 | fff3 | ff00          
191 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
192 |         256 |     256.00 |   0.00 |       -1 |     -256 | ffff | ff00          
193 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
194 |         260 |     256.33 |   1.43 |       13 |     -256 | 000d | ff00          
195 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
196 |         264 |     256.22 |   3.04 |       25 |     -255 | 0019 | ff01          
197 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
198 |         267 |     256.68 |   4.02 |       37 |     -254 | 0025 | ff02          
199 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
200 |         269 |     255.93 |   5.11 |       50 |     -251 | 0032 | ff05          
201 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
202 |         271 |     256.60 |   5.61 |       62 |     -249 | 003e | ff07          
203 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
204 |         273 |     256.89 |   6.27 |       74 |     -246 | 004a | ff0a          
205 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
206 |         272 |     255.88 |   6.30 |       86 |     -241 | 0056 | ff0f          
207 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
208 |         273 |     256.46 |   6.45 |       98 |     -237 | 0062 | ff13          
209 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
210 |         272 |     256.33 |   6.11 |      109 |     -232 | 006d | ff18          
211 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
212 |         272 |     257.24 |   5.74 |      121 |     -227 | 0079 | ff1d          
213 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
214 |         269 |     256.91 |   4.71 |      131 |     -221 | 0083 | ff23          
215 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
216 |         266 |     256.28 |   3.79 |      141 |     -214 | 008d | ff2a          
217 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
218 |         264 |     256.81 |   2.80 |      152 |     -207 | 0098 | ff31          
219 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
220 |         258 |     255.83 |   0.85 |      162 |     -198 | 00a2 | ff3a          
221 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
222 |         254 |     256.29 |   0.89 |      172 |     -190 | 00ac | ff42          
223 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
224 |         249 |     255.98 |   2.73 |      180 |     -182 | 00b4 | ff4a          
225 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
226 |         254 |     256.29 |   0.89 |      190 |     -172 | 00be | ff54          
227 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
228 |         258 |     256.46 |   0.60 |      198 |     -163 | 00c6 | ff5d          
229 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
230 |         262 |     256.40 |   2.18 |      205 |     -154 | 00cd | ff66          
231 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
232 |         265 |     256.55 |   3.29 |      213 |     -143 | 00d5 | ff71          
233 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
234 |         269 |     257.08 |   4.64 |      220 |     -133 | 00dc | ff7b          
235 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
236 |         270 |     255.95 |   5.49 |      225 |     -122 | 00e1 | ff86          
237 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
238 |         271 |     255.85 |   5.92 |      231 |     -110 | 00e7 | ff92          
239 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
240 |         271 |     255.00 |   6.27 |      235 |      -99 | 00eb | ff9d          
241 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
242 |         272 |     256.22 |   6.16 |      241 |      -87 | 00f1 | ffa9          
243 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
244 |         273 |     256.52 |   6.43 |      245 |      -76 | 00f5 | ffb4          
245 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
246 |         272 |     256.12 |   6.20 |      248 |      -64 | 00f8 | ffc0          
247 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
248 |         268 |     255.15 |   5.04 |      250 |      -51 | 00fa | ffcd          
249 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
250 |         266 |     255.99 |   3.91 |      253 |      -39 | 00fd | ffd9          
251 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
252 |         262 |     254.33 |   3.01 |      253 |      -26 | 00fd | ffe6          
253 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
254 |         258 |     254.39 |   1.42 |      254 |      -14 | 00fe | fff2          
255 |       16384 |   16384.00 |   0.00 |    16384 |        0 | 4000 | 0000  <-- PEAK

=== SUMMARY ===
Peak Bin:         255
Peak Magnitude (Approx):       16384
Peak Magnitude (Exact): 16384.00
Average Approximation Error: 3.95%

=================================================
TEST: Impulse (Input 1.0)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
----|-------------|------------|--------|----------|----------|----------|----------
  0 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  1 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  2 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  3 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  4 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  5 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  6 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  7 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  8 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
  9 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 10 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 11 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 12 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 13 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 14 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 15 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 16 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 17 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 18 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 19 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 20 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 21 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 22 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 23 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 24 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 25 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 26 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 27 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 28 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 29 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 30 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 31 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 32 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 33 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 34 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 35 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 36 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 37 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 38 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 39 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 40 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 41 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 42 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 43 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 44 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 45 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 46 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 47 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 48 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 49 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 50 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 51 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 52 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 53 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 54 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 55 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 56 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 57 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 58 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 59 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 60 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 61 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 62 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 63 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 64 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 65 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 66 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 67 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 68 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
 69 |         127 |     127.00 |   0.00 |      127 |        0 | 007f | 0000          
